origin,dest,year,asylum_apps
BLZ,MEX,2021,53
BLZ,MEX,2022,20
BLZ,MEX,2023,42
BLZ,USA,2008,5
BLZ,USA,2009,16
BLZ,USA,2010,24
BLZ,USA,2011,39
BLZ,USA,2012,39
BLZ,USA,2013,43
BLZ,USA,2014,47
BLZ,USA,2015,35
BLZ,USA,2016,72
BLZ,USA,2017,77
BLZ,USA,2018,75
BLZ,USA,2019,95
BLZ,USA,2020,65
BLZ,USA,2021,42
BLZ,USA,2022,200
BLZ,USA,2023,638
BOL,ARG,2009,5
BOL,ARG,2017,5
BOL,ARG,2019,56
BOL,ARG,2020,65
BOL,ARG,2021,7
BOL,ARG,2022,5
BOL,ARG,2023,6
BOL,AUT,2009,5
BOL,AUT,2011,5
BOL,BRA,2008,24
BOL,BRA,2009,100
BOL,BRA,2010,19
BOL,BRA,2011,12
BOL,BRA,2012,7
BOL,BRA,2015,22
BOL,BRA,2016,15
BOL,BRA,2017,9
BOL,BRA,2018,25
BOL,BRA,2019,23
BOL,BRA,2020,29
BOL,BRA,2021,11
BOL,BRA,2022,41
BOL,BRA,2023,95
BOL,CAN,2008,16
BOL,CAN,2009,19
BOL,CAN,2010,10
BOL,CAN,2011,12
BOL,CAN,2012,7
BOL,CAN,2014,6
BOL,CAN,2015,10
BOL,CAN,2016,5
BOL,CAN,2017,7
BOL,CAN,2018,17
BOL,CAN,2019,14
BOL,CAN,2021,10
BOL,CAN,2022,36
BOL,CAN,2023,60
BOL,CHL,2010,5
BOL,CHL,2011,5
BOL,CHL,2012,5
BOL,CHL,2015,9
BOL,COL,2009,5
BOL,COL,2013,5
BOL,COL,2023,5
BOL,CRI,2008,10
BOL,CRI,2017,5
BOL,CRI,2021,9
BOL,CRI,2022,9
BOL,DEU,2021,6
BOL,DEU,2022,18
BOL,DEU,2023,5
BOL,ECU,2008,12
BOL,ECU,2009,9
BOL,ECU,2010,5
BOL,ECU,2013,5
BOL,ESP,2008,5
BOL,ESP,2009,5
BOL,ESP,2010,8
BOL,ESP,2011,7
BOL,ESP,2012,11
BOL,ESP,2013,5
BOL,ESP,2014,13
BOL,ESP,2015,12
BOL,ESP,2016,8
BOL,ESP,2017,16
BOL,ESP,2018,31
BOL,ESP,2019,112
BOL,ESP,2020,122
BOL,ESP,2021,93
BOL,ESP,2022,84
BOL,ESP,2023,187
BOL,FRA,2008,21
BOL,FRA,2009,11
BOL,FRA,2010,10
BOL,FRA,2011,9
BOL,FRA,2012,17
BOL,FRA,2013,5
BOL,FRA,2014,5
BOL,FRA,2015,5
BOL,FRA,2018,9
BOL,FRA,2019,36
BOL,FRA,2020,5
BOL,FRA,2021,15
BOL,FRA,2022,9
BOL,FRA,2023,12
BOL,GBR,2008,37
BOL,GBR,2009,14
BOL,GBR,2010,30
BOL,GBR,2011,53
BOL,GBR,2012,20
BOL,GBR,2013,6
BOL,GBR,2014,10
BOL,GBR,2015,25
BOL,GBR,2016,7
BOL,GBR,2017,9
BOL,GBR,2018,20
BOL,GBR,2019,44
BOL,GBR,2020,16
BOL,GBR,2021,10
BOL,GBR,2022,50
BOL,GBR,2023,78
BOL,GRC,2017,5
BOL,HRV,2022,7
BOL,HRV,2023,5
BOL,IRL,2009,5
BOL,IRL,2010,29
BOL,IRL,2011,11
BOL,IRL,2012,10
BOL,IRL,2014,5
BOL,IRL,2016,6
BOL,IRL,2017,5
BOL,IRL,2018,25
BOL,IRL,2019,19
BOL,IRL,2020,19
BOL,IRL,2021,19
BOL,IRL,2022,51
BOL,IRL,2023,129
BOL,ISL,2022,5
BOL,ITA,2008,5
BOL,ITA,2009,5
BOL,ITA,2014,5
BOL,ITA,2016,6
BOL,ITA,2017,5
BOL,ITA,2018,10
BOL,ITA,2019,18
BOL,ITA,2020,7
BOL,ITA,2022,7
BOL,ITA,2023,6
BOL,KOR,2018,5
BOL,MEX,2019,8
BOL,MEX,2020,10
BOL,MEX,2021,27
BOL,MEX,2022,34
BOL,MEX,2023,30
BOL,NLD,2008,5
BOL,NLD,2011,5
BOL,NLD,2022,7
BOL,NLD,2023,6
BOL,NZL,2008,5
BOL,PER,2009,11
BOL,PER,2010,5
BOL,PER,2011,5
BOL,PER,2016,5
BOL,PER,2018,10
BOL,PER,2019,6
BOL,PER,2020,5
BOL,PER,2021,8
BOL,PER,2022,5
BOL,PER,2023,16
BOL,PRT,2022,5
BOL,PRT,2023,5
BOL,PRY,2011,7
BOL,PRY,2012,5
BOL,PRY,2014,5
BOL,PRY,2020,5
BOL,PRY,2021,11
BOL,PRY,2022,5
BOL,PRY,2023,17
BOL,RUS,2023,5
BOL,SVN,2021,5
BOL,SVN,2023,5
BOL,SWE,2008,226
BOL,SWE,2009,90
BOL,SWE,2010,74
BOL,SWE,2011,77
BOL,SWE,2012,75
BOL,SWE,2013,127
BOL,SWE,2014,76
BOL,SWE,2015,44
BOL,SWE,2016,49
BOL,SWE,2017,58
BOL,SWE,2018,64
BOL,SWE,2019,71
BOL,SWE,2020,28
BOL,SWE,2021,14
BOL,SWE,2022,19
BOL,SWE,2023,30
BOL,URY,2015,5
BOL,URY,2021,5
BOL,URY,2022,5
BOL,URY,2023,7
BOL,USA,2008,26
BOL,USA,2009,40
BOL,USA,2010,39
BOL,USA,2011,57
BOL,USA,2012,71
BOL,USA,2013,52
BOL,USA,2014,62
BOL,USA,2015,46
BOL,USA,2016,100
BOL,USA,2017,100
BOL,USA,2018,112
BOL,USA,2019,121
BOL,USA,2020,65
BOL,USA,2021,248
BOL,USA,2022,605
BOL,USA,2023,2281
BRA,ARG,2014,5
BRA,ARG,2016,5
BRA,ARG,2018,5
BRA,ARG,2019,5
BRA,ARG,2020,5
BRA,ARG,2021,8
BRA,ARG,2022,6
BRA,ARG,2023,10
BRA,AUS,2008,5
BRA,AUS,2009,5
BRA,AUS,2010,8
BRA,AUS,2011,22
BRA,AUS,2012,26
BRA,AUS,2013,11
BRA,AUS,2014,19
BRA,AUS,2015,15
BRA,AUS,2016,27
BRA,AUS,2017,29
BRA,AUS,2018,33
BRA,AUS,2019,49
BRA,AUS,2020,82
BRA,AUS,2021,13
BRA,AUS,2022,270
BRA,AUS,2023,80
BRA,AUT,2013,5
BRA,AUT,2018,5
BRA,AUT,2023,5
BRA,BEL,2010,5
BRA,BEL,2013,5
BRA,BEL,2015,5
BRA,BEL,2016,6
BRA,BEL,2017,15
BRA,BEL,2018,30
BRA,BEL,2019,14
BRA,BEL,2020,429
BRA,BEL,2021,30
BRA,BEL,2022,70
BRA,BEL,2023,68
BRA,BOL,2015,5
BRA,CAN,2008,109
BRA,CAN,2009,95
BRA,CAN,2010,108
BRA,CAN,2011,72
BRA,CAN,2012,54
BRA,CAN,2013,11
BRA,CAN,2014,14
BRA,CAN,2015,48
BRA,CAN,2016,28
BRA,CAN,2017,384
BRA,CAN,2018,172
BRA,CAN,2019,373
BRA,CAN,2020,180
BRA,CAN,2021,143
BRA,CAN,2022,1339
BRA,CAN,2023,587
BRA,CHE,2013,5
BRA,CHE,2016,5
BRA,CHE,2018,5
BRA,CHE,2020,8
BRA,CHE,2022,12
BRA,CHE,2023,7
BRA,CHL,2018,5
BRA,CRI,2015,5
BRA,CRI,2019,10
BRA,CRI,2020,5
BRA,CRI,2021,191
BRA,CRI,2022,19
BRA,CRI,2023,5
BRA,DEU,2009,5
BRA,DEU,2011,6
BRA,DEU,2013,9
BRA,DEU,2014,8
BRA,DEU,2015,5
BRA,DEU,2016,17
BRA,DEU,2017,12
BRA,DEU,2018,37
BRA,DEU,2019,21
BRA,DEU,2020,23
BRA,DEU,2021,19
BRA,DEU,2022,55
BRA,DEU,2023,84
BRA,DNK,2013,5
BRA,DNK,2020,5
BRA,DNK,2022,5
BRA,ECU,2008,5
BRA,ECU,2009,5
BRA,ECU,2010,10
BRA,ECU,2017,8
BRA,ECU,2018,5
BRA,ECU,2019,8
BRA,ECU,2021,5
BRA,ECU,2022,5
BRA,ECU,2023,5
BRA,ESP,2008,9
BRA,ESP,2009,8
BRA,ESP,2010,5
BRA,ESP,2011,9
BRA,ESP,2012,5
BRA,ESP,2013,5
BRA,ESP,2014,10
BRA,ESP,2015,5
BRA,ESP,2016,25
BRA,ESP,2017,57
BRA,ESP,2018,151
BRA,ESP,2019,986
BRA,ESP,2020,801
BRA,ESP,2021,345
BRA,ESP,2022,611
BRA,ESP,2023,724
BRA,FIN,2008,5
BRA,FIN,2017,5
BRA,FIN,2018,5
BRA,FIN,2021,5
BRA,FIN,2022,5
BRA,FRA,2008,17
BRA,FRA,2009,14
BRA,FRA,2010,18
BRA,FRA,2011,21
BRA,FRA,2012,20
BRA,FRA,2013,24
BRA,FRA,2014,16
BRA,FRA,2015,10
BRA,FRA,2016,9
BRA,FRA,2017,5
BRA,FRA,2018,74
BRA,FRA,2019,92
BRA,FRA,2020,69
BRA,FRA,2021,145
BRA,FRA,2022,365
BRA,FRA,2023,288
BRA,GBR,2008,44
BRA,GBR,2009,31
BRA,GBR,2010,49
BRA,GBR,2011,51
BRA,GBR,2012,29
BRA,GBR,2013,24
BRA,GBR,2014,27
