iso,year,events_flood,events_drought,events_hurricane,deaths_flood,deaths_drought,deaths_hurricane,affected_flood,affected_drought,affected_hurricane,int_disp_flood,int_disp_hurricane,int_disp_drought,asylum_apps,gdp_pc_const,agri_va_pct,unemp_rate,remit_gdp_pct,population,gini_index,diaspora_US,diaspora_ESP,total_events,total_int_disp,asylum_apps_pc100k,int_disp_total_pc100k,deaths_total,affected_total,deaths_per_event,affected_per_event,any_drought_event,any_flood_event,any_hurricane_event,any_internal_disp,log_asylum_apps,log_int_disp_total,log_events_total,lag_asylum_apps,lag_int_disp_total,lag_total_events,lag_drought_events,lag_flood_events,lag_hurricane_events
PAN,2008,2,0,0,28,0,0,23832,0,0,0,0,0,29,10288.1549911493,4.44423048452242,5.647,1.46959752622415,3500648,52.7,NA,NA,2,0,0.8284180528862085,0,28,23832,14,11916,0,1,0,0,3.4011973816621555,0,1.0986122886681098,NA,NA,NA,NA,NA,NA
MEX,2008,1,0,1,12,0,2,20000,0,500000,0,13100,0,10800,9826.34218464752,3.02875898012501,3.874,2.33150871646991,110374288,50.8,NA,NA,2,13100,9.784887581788976,11.868706233466257,14,520000,7,260000,0,1,1,1,9.287394001418473,9.48044384215367,1.0986122886681098,NA,NA,NA,NA,NA,NA
CUB,2008,1,0,4,0,0,7,20000,0,499445,20000,2710000,0,1356,6469.08507847668,3.81703869500364,1.583,NA,11291762,NA,NA,NA,5,2730000,12.00875470099352,24176.91765023032,7,519445,1.4,103889,0,1,1,1,7.213031659834869,14.819812533461441,1.791759469228055,NA,NA,NA,NA,NA,NA
DOM,2008,0,0,3,0,0,13,0,0,17000,0,8925,0,321,5308.92664966814,6.27099180121697,4.764,7.49717721751335,9573130,48.1,NA,NA,3,8925,3.353135285951408,93.22969603463027,13,17000,4.333333333333333,5666.666666666667,0,0,1,1,5.7745515455444085,9.096723645189215,1.3862943611198906,NA,NA,NA,NA,NA,NA
HTI,2008,0,0,4,0,0,698,0,0,246160,0,138761,0,8609,1356.53400140048,18.4326161641106,16.195,13.1290988116484,9530774,NA,NA,NA,4,138761,90.32844551764632,1455.9258251218632,698,246160,174.5,61540,0,0,1,1,9.060679597421776,11.840515514355427,1.6094379124341003,NA,NA,NA,NA,NA,NA
JAM,2008,0,0,2,0,0,13,0,0,4000,0,1520,0,698,5347.63272984199,4.89912215623133,6.666,15.730734103885,2725635,NA,NA,NA,2,1520,25.60871136450772,55.7668213095297,13,4000,6.5,2000,0,0,1,1,6.54965074223381,7.327123292259293,1.0986122886681098,NA,NA,NA,NA,NA,NA
TTO,2008,0,0,0,0,0,0,0,0,0,0,0,0,201,18314.3935199626,0.365514424327618,4.63,0.339054962370327,1308587,NA,NA,NA,0,0,15.36007923049824,0,0,0,NA,NA,0,0,0,0,5.308267697401205,0,0,NA,NA,NA,NA,NA,NA
BHS,2008,0,0,2,0,0,0,0,0,3000,0,500,0,30,32331.930166479,1.04313129393882,8.18,0,358120,NA,NA,NA,2,500,8.377080308276556,139.6180051379426,0,3000,0,1500,0,0,1,1,3.4339872044851463,6.2166061010848646,1.0986122886681098,NA,NA,NA,NA,NA,NA
BRB,2008,0,0,0,0,0,0,0,0,0,0,0,0,34,21477.2080592359,1.29586496388702,8.12,2.11173244812177,272714,NA,NA,NA,0,0,12.467273407305822,0,0,0,NA,NA,0,0,0,0,3.5553480614894135,0,0,NA,NA,NA,NA,NA,NA
GRD,2008,0,0,0,0,0,0,0,0,0,0,0,0,36,8307.49221491819,3.76733196411895,NA,4.4478749458577,110896,NA,NA,NA,0,0,32.462848073871015,0,0,0,NA,NA,0,0,0,0,3.6109179126442243,0,0,NA,NA,NA,NA,NA,NA
